storename,workingHours,floor,mallname,id
RUBY BAY,Sun-Thu: 9:30-22:00 Fri/Holydays: 9:30-15:30 Sat: 1 hour after Shabat till 23:08,1,Azrieli TLV,141
LEVI'S,Sun-Thu: 9:30-22:00 Fri/Holydays: 9:30-15:30 Sat: 1 hour after Shabat till 23:08,2,Azrieli TLV,246
MIMI TO GO,Sun-Thu: 9:30-22:00 Fri/Holydays: 9:30-15:30 Sat: 1 hour after Shabat till 23:08,1,Azrieli TLV,1108
IMPRESS,Sun-Thu: 9:30-22:00 Fri/Holydays: 9:30-15:30 Sat: 1 hour after Shabat till 23:08,2,Azrieli TLV,239
NAVE MIDBAR,Sun-Thu: 9:30-22:00 Fri/Holydays: 9:30-15:30 Sat: 1 hour after Shabat till 23:08,1,Azrieli TLV,122
LEGO,Sun-Thu: 9:30-22:00 Fri/Holydays: 9:30-15:30 Sat: 1 hour after Shabat till 23:08,1,Azrieli TLV,15
TAMARA,Sun-Thu: 9:30-22:00 Fri/Holydays: 9:30-15:30 Sat: 1 hour after Shabat till 23:08,1,Azrieli TLV,168
SHILAV,Sun-Thu: 9:30-22:00 Fri/Holydays: 9:30-15:30 Sat: 1 hour after Shabat till 23:09,2,Azrieli TLV,214
EGZ,Sun-Thu: 8:30-20:00 Fri: 8:30-13:30,1,Azrieli TLV,1103
OLAM HAMAMTAKIM,Sun-Thu: 9:30-22:00 Fri/Holydays: 9:30-15:30 Sat: 1 hour after Shabat till 23:09,1,Azrieli TLV,167
TAO TATTOO,Sun-Thu: 9:30-22:00 Fri/Holydays: 9:30-15:30 Sat: 1 hour after Shabat till 23:09,2,Azrieli TLV,210
BATH & BODY WORKS,Sun-Thu: 9:30-22:00 Fri/Holydays: 9:30-15:30 Sat: 1 hour after Shabat till 23:08,2,Azrieli TLV,249
YULLIA,Sun-Thu: 9:30-22:00 Fri/Holydays: 9:30-15:30 Sat: 1 hour after Shabat till 23:08,1,Azrieli TLV,158
YVES ROCHER,Sun-Thu: 9:30-22:00 Fri/Holydays: 9:30-15:30 Sat: 1 hour after Shabat till 23:08,1,Azrieli TLV,127
BLACK & WHITE,Sun-Thu: 9:30-22:00 Fri/Holydays: 9:30-15:30 Sat: 1 hour after Shabat till 23:08,1,Azrieli TLV,1119
